name,weather,humidity,temp,speed,grnd_level,dt,hour
0,Achalpur,Rain,88,298.31,5.07,959,2024-07-26 11:13:17,11
1,Aheri,Clouds,90,298.94,3.31,985,2024-07-26 11:14:12,11
2,Ahmadpur,Clouds,86,296.05,7.39,946,2024-07-26 11:14:13,11
3,Ahmednagar,Clouds,75,297.6,9.73,933,2024-07-26 11:14:13,11
4,Airoli,Clouds,83,301.16,5.14,1003,2024-07-26 11:14:13,11
5,Ajara,Rain,76,298.21,0.47,828,2024-07-26 11:14:13,11
6,Akalkot,Clouds,83,297.65,6.87,955,2024-07-26 11:11:41,11
7,Akola,Clouds,82,299.4,6.14,970,2024-07-26 11:14:14,11
8,Akot,Clouds,88,298.56,5.78,966,2024-07-26 11:10:31,11
9,Alandi,Clouds,76,298.58,8.37,943,2024-07-26 11:10:03,11
10,Ale,Clear,19,304.33,2.12,875,2024-07-26 11:14:16,11
11,Alibag,Clouds,87,301.19,7.37,1004,2024-07-26 11:14:17,11
12,Allāpalli,Clouds,91,298.68,3.16,984,2024-07-26 11:14:17,11
13,Amalner,Clouds,70,302.3,9.05,980,2024-07-26 11:14:17,11
14,Ambarnath,Clouds,89,300.93,5.33,999,2024-07-26 11:14:18,11
15,Ambad,Clouds,79,297.44,6.64,946,2024-07-26 11:11:41,11
16,Ambajogai,Clouds,85,295.85,8.0,934,2024-07-26 11:14:18,11
17,Ambernath,Clouds,89,301.03,5.16,1001,2024-07-26 11:14:19,11
18,Amgaon,Clouds,85,299.98,6.03,960,2024-07-26 11:14:19,11
19,Amrāvati,Clouds,88,298.36,6.89,962,2024-07-26 11:14:19,11
20,Andheri,Clouds,74,304.92,0.52,919,2024-07-26 11:14:20,11
21,Andura,Clouds,83,299.5,6.14,973,2024-07-26 11:14:21,11
22,Anjangaon,Clouds,88,298.44,5.55,963,2024-07-26 11:14:21,11
23,Anshing,Clouds,79,298.57,9.67,942,2024-07-26 11:10:23,11
24,Arag,Clouds,75,299.26,10.38,939,2024-07-26 11:14:22,11
25,Ārangaon,Clouds,79,297.75,8.74,943,2024-07-26 11:14:22,11
26,Artist Village,Mist,84,302.05,4.12,1001,2024-07-26 11:13:00,11
27,Ārvi,Clouds,88,298.63,6.51,967,2024-07-26 11:14:24,11
28,Ashta,Rain,90,298.64,6.23,945,2024-07-26 11:10:24,11
29,Ashti,Clouds,83,296.97,6.73,954,2024-07-26 11:14:24,11
30,Asoda,Clouds,77,301.02,6.74,978,2024-07-26 11:14:24,11
31,Astagaon,Clouds,69,298.98,8.62,945,2024-07-26 11:14:27,11
32,Aurangabad,Haze,89,299.2,3.09,940,2024-07-26 11:12:03,11
33,Vic,Clear,87,294.43,0.15,957,2024-07-26 11:14:28,11
34,Badlapur,Clouds,90,301.04,4.92,1001,2024-07-26 11:14:28,11
35,Badnapur,Clouds,72,299.57,8.81,946,2024-07-26 11:14:28,11
36,Badnera,Clouds,86,298.75,7.0,962,2024-07-26 11:14:29,11
37,Bagewadi,Clouds,70,299.86,11.35,946,2024-07-26 11:14:29,11
38,Bālāpur,Clouds,77,300.61,7.0,970,2024-07-26 11:09:56,11
39,Ballarpur,Clouds,88,298.13,5.74,981,2024-07-26 11:14:30,11
40,Ballarpur,Clouds,88,298.13,5.74,981,2024-07-26 11:09:36,11
41,Bārāmati,Clouds,86,296.72,4.69,944,2024-07-26 11:09:57,11
42,Bārsi,Clouds,84,297.13,7.81,947,2024-07-26 11:14:35,11
43,Basmat,Clouds,79,300.08,8.1,959,2024-07-26 11:14:35,11
44,Bavdhan,Clouds,80,297.69,6.98,937,2024-07-26 11:14:35,11
45,Bawanbir,Clouds,87,298.64,5.32,966,2024-07-26 11:14:36,11
46,Beed,Clouds,87,297.89,6.92,945,2024-07-26 11:14:36,11
47,Bhandāra,Rain,86,299.61,4.96,970,2024-07-26 11:14:38,11
48,Bhigvan,Clouds,87,296.52,5.49,949,2024-07-26 11:14:39,11
49,Bhiwandi,Clouds,88,302.07,5.48,1001,2024-07-26 11:09:48,11
50,Bhiwapur,Rain,88,298.37,5.31,971,2024-07-26 11:14:40,11
51,Bhokar,Clouds,89,299.64,7.2,952,2024-07-26 11:14:40,11
52,Bhokardan,Clouds,75,299.11,10.0,938,2024-07-26 11:14:40,11
53,Bhoom,Clouds,83,297.22,8.07,940,2024-07-26 11:14:41,11
54,Bhor,Clouds,86,296.92,6.44,936,2024-07-26 11:14:41,11
55,Bhudgaon,Clouds,79,299.15,9.47,944,2024-07-26 11:11:41,11
56,Bhusāval,Clouds,77,301.1,6.91,978,2024-07-26 11:14:42,11
57,Bijur,Clear,26,294.12,2.49,743,2024-07-26 11:14:42,11
58,Bilashi,Clouds,42,298.56,3.23,995,2024-07-26 11:14:42,11
